2024-04-12 23:44:13,307 INFO    StreamThr :78807 [internal.py:wandb_internal():86] W&B internal server running at pid: 78807, started at: 2024-04-12 23:44:13.307007
2024-04-12 23:44:13,308 DEBUG   HandlerThread:78807 [handler.py:handle_request():146] handle_request: status
2024-04-12 23:44:13,311 INFO    WriterThread:78807 [datastore.py:open_for_write():87] open: /Users/ming/Courses/5180/project/dqn-breakout/wandb/run-20240412_234413-q79k8tz7/run-q79k8tz7.wandb
2024-04-12 23:44:13,311 DEBUG   SenderThread:78807 [sender.py:send():379] send: header
2024-04-12 23:44:13,334 DEBUG   SenderThread:78807 [sender.py:send():379] send: run
2024-04-12 23:44:13,542 INFO    SenderThread:78807 [dir_watcher.py:__init__():211] watching files in: /Users/ming/Courses/5180/project/dqn-breakout/wandb/run-20240412_234413-q79k8tz7/files
2024-04-12 23:44:13,543 INFO    SenderThread:78807 [sender.py:_start_run_threads():1124] run started: q79k8tz7 with start time 1712979853.307372
2024-04-12 23:44:13,555 DEBUG   HandlerThread:78807 [handler.py:handle_request():146] handle_request: check_version
2024-04-12 23:44:13,555 DEBUG   SenderThread:78807 [sender.py:send_request():406] send_request: check_version
2024-04-12 23:44:13,819 DEBUG   HandlerThread:78807 [handler.py:handle_request():146] handle_request: run_start
2024-04-12 23:44:13,827 DEBUG   HandlerThread:78807 [system_info.py:__init__():26] System info init
2024-04-12 23:44:13,827 DEBUG   HandlerThread:78807 [system_info.py:__init__():41] System info init done
2024-04-12 23:44:13,827 INFO    HandlerThread:78807 [system_monitor.py:start():194] Starting system monitor
2024-04-12 23:44:13,827 INFO    SystemMonitor:78807 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-04-12 23:44:13,828 INFO    HandlerThread:78807 [system_monitor.py:probe():214] Collecting system info
2024-04-12 23:44:13,828 INFO    SystemMonitor:78807 [interfaces.py:start():190] Started cpu monitoring
2024-04-12 23:44:13,830 DEBUG   HandlerThread:78807 [system_info.py:probe():150] Probing system
2024-04-12 23:44:13,830 INFO    SystemMonitor:78807 [interfaces.py:start():190] Started disk monitoring
2024-04-12 23:44:13,830 INFO    SystemMonitor:78807 [interfaces.py:start():190] Started gpuapple monitoring
2024-04-12 23:44:13,854 INFO    SystemMonitor:78807 [interfaces.py:start():190] Started memory monitoring
2024-04-12 23:44:13,855 INFO    SystemMonitor:78807 [interfaces.py:start():190] Started network monitoring
2024-04-12 23:44:13,861 DEBUG   HandlerThread:78807 [system_info.py:_probe_git():135] Probing git
2024-04-12 23:44:13,884 DEBUG   HandlerThread:78807 [system_info.py:_probe_git():143] Probing git done
2024-04-12 23:44:13,884 DEBUG   HandlerThread:78807 [system_info.py:probe():198] Probing system done
2024-04-12 23:44:13,885 DEBUG   HandlerThread:78807 [system_monitor.py:probe():223] {'os': 'macOS-14.4-arm64-arm-64bit', 'python': '3.10.13', 'heartbeatAt': '2024-04-13T03:44:13.830346', 'startedAt': '2024-04-13T03:44:13.300224', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': '/Users/ming/Courses/5180/project/dqn-breakout/main.py', 'codePathLocal': 'main.py', 'codePath': 'project/dqn-breakout/main.py', 'git': {'remote': 'git@github.com:CMvvvt/CS5180-RL.git', 'commit': '0fc933208f21ddc09a7dc0bf048ea34eff5d693d'}, 'email': '452000761@qq.com', 'root': '/Users/ming/Courses/5180', 'host': 'Mings-MacBook-Pro.local', 'username': 'ming', 'executable': '/Users/ming/.pyenv/versions/3.10.13/bin/python', 'cpu_count': 10, 'cpu_count_logical': 10, 'disk': {'/': {'total': 460.4317207336426, 'used': 10.113151550292969}}, 'gpuapple': {'type': 'arm', 'vendor': 'Apple'}, 'memory': {'total': 32.0}}
