2024-04-13 17:41:01,054 INFO    StreamThr :2981 [internal.py:wandb_internal():86] W&B internal server running at pid: 2981, started at: 2024-04-13 17:41:01.053915
2024-04-13 17:41:01,055 DEBUG   HandlerThread:2981 [handler.py:handle_request():146] handle_request: status
2024-04-13 17:41:01,057 INFO    WriterThread:2981 [datastore.py:open_for_write():87] open: /Users/ming/Courses/5180/project/dqn-breakout/wandb/run-20240413_174101-rponf6wc/run-rponf6wc.wandb
2024-04-13 17:41:01,057 DEBUG   SenderThread:2981 [sender.py:send():379] send: header
2024-04-13 17:41:01,082 DEBUG   SenderThread:2981 [sender.py:send():379] send: run
2024-04-13 17:41:01,325 INFO    SenderThread:2981 [dir_watcher.py:__init__():211] watching files in: /Users/ming/Courses/5180/project/dqn-breakout/wandb/run-20240413_174101-rponf6wc/files
2024-04-13 17:41:01,325 INFO    SenderThread:2981 [sender.py:_start_run_threads():1124] run started: rponf6wc with start time 1713044461.055385
2024-04-13 17:41:01,331 DEBUG   HandlerThread:2981 [handler.py:handle_request():146] handle_request: check_version
2024-04-13 17:41:01,331 DEBUG   SenderThread:2981 [sender.py:send_request():406] send_request: check_version
2024-04-13 17:41:01,558 DEBUG   HandlerThread:2981 [handler.py:handle_request():146] handle_request: run_start
2024-04-13 17:41:01,565 DEBUG   HandlerThread:2981 [system_info.py:__init__():26] System info init
2024-04-13 17:41:01,565 DEBUG   HandlerThread:2981 [system_info.py:__init__():41] System info init done
2024-04-13 17:41:01,565 INFO    HandlerThread:2981 [system_monitor.py:start():194] Starting system monitor
2024-04-13 17:41:01,565 INFO    SystemMonitor:2981 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-04-13 17:41:01,565 INFO    HandlerThread:2981 [system_monitor.py:probe():214] Collecting system info
2024-04-13 17:41:01,566 INFO    SystemMonitor:2981 [interfaces.py:start():190] Started cpu monitoring
2024-04-13 17:41:01,566 DEBUG   HandlerThread:2981 [system_info.py:probe():150] Probing system
2024-04-13 17:41:01,568 INFO    SystemMonitor:2981 [interfaces.py:start():190] Started disk monitoring
2024-04-13 17:41:01,568 INFO    SystemMonitor:2981 [interfaces.py:start():190] Started gpuapple monitoring
2024-04-13 17:41:01,596 INFO    SystemMonitor:2981 [interfaces.py:start():190] Started memory monitoring
2024-04-13 17:41:01,597 INFO    SystemMonitor:2981 [interfaces.py:start():190] Started network monitoring
2024-04-13 17:41:01,602 DEBUG   HandlerThread:2981 [system_info.py:_probe_git():135] Probing git
2024-04-13 17:41:01,641 DEBUG   HandlerThread:2981 [system_info.py:_probe_git():143] Probing git done
2024-04-13 17:41:01,641 DEBUG   HandlerThread:2981 [system_info.py:probe():198] Probing system done
2024-04-13 17:41:01,641 DEBUG   HandlerThread:2981 [system_monitor.py:probe():223] {'os': 'macOS-14.4-arm64-arm-64bit', 'python': '3.10.13', 'heartbeatAt': '2024-04-13T21:41:01.566913', 'startedAt': '2024-04-13T21:41:01.050543', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': '/Users/ming/Courses/5180/project/dqn-breakout/main.py', 'codePathLocal': 'main.py', 'codePath': 'project/dqn-breakout/main.py', 'git': {'remote': 'git@github.com:CMvvvt/CS5180-RL.git', 'commit': '0fc933208f21ddc09a7dc0bf048ea34eff5d693d'}, 'email': '452000761@qq.com', 'root': '/Users/ming/Courses/5180', 'host': 'Mings-MacBook-Pro.local', 'username': 'ming', 'executable': '/Users/ming/.pyenv/versions/3.10.13/bin/python', 'cpu_count': 10, 'cpu_count_logical': 10, 'disk': {'/': {'total': 460.4317207336426, 'used': 10.113151550292969}}, 'gpuapple': {'type': 'arm', 'vendor': 'Apple'}, 'memory': {'total': 32.0}}
2024-04-13 17:41:01,641 INFO    HandlerThread:2981 [system_monitor.py:probe():224] Finished collecting system info
