2024-04-12 21:59:49,504 INFO    StreamThr :79062 [internal.py:wandb_internal():86] W&B internal server running at pid: 79062, started at: 2024-04-12 21:59:49.503427
2024-04-12 21:59:49,504 DEBUG   HandlerThread:79062 [handler.py:handle_request():146] handle_request: status
2024-04-12 21:59:49,506 INFO    WriterThread:79062 [datastore.py:open_for_write():87] open: /Users/ming/Courses/5180/project/dqn-breakout/wandb/run-20240412_215949-09pyr3fu/run-09pyr3fu.wandb
2024-04-12 21:59:49,506 DEBUG   SenderThread:79062 [sender.py:send():379] send: header
2024-04-12 21:59:49,524 DEBUG   SenderThread:79062 [sender.py:send():379] send: run
2024-04-12 21:59:49,754 INFO    SenderThread:79062 [dir_watcher.py:__init__():211] watching files in: /Users/ming/Courses/5180/project/dqn-breakout/wandb/run-20240412_215949-09pyr3fu/files
2024-04-12 21:59:49,754 INFO    SenderThread:79062 [sender.py:_start_run_threads():1124] run started: 09pyr3fu with start time 1712973589.503497
2024-04-12 21:59:49,767 DEBUG   HandlerThread:79062 [handler.py:handle_request():146] handle_request: check_version
2024-04-12 21:59:49,767 DEBUG   SenderThread:79062 [sender.py:send_request():406] send_request: check_version
2024-04-12 21:59:49,823 DEBUG   HandlerThread:79062 [handler.py:handle_request():146] handle_request: run_start
2024-04-12 21:59:49,830 DEBUG   HandlerThread:79062 [system_info.py:__init__():26] System info init
2024-04-12 21:59:49,830 DEBUG   HandlerThread:79062 [system_info.py:__init__():41] System info init done
2024-04-12 21:59:49,830 INFO    HandlerThread:79062 [system_monitor.py:start():194] Starting system monitor
2024-04-12 21:59:49,830 INFO    SystemMonitor:79062 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-04-12 21:59:49,830 INFO    HandlerThread:79062 [system_monitor.py:probe():214] Collecting system info
2024-04-12 21:59:49,831 DEBUG   HandlerThread:79062 [system_info.py:probe():150] Probing system
2024-04-12 21:59:49,831 INFO    SystemMonitor:79062 [interfaces.py:start():190] Started cpu monitoring
2024-04-12 21:59:49,831 INFO    SystemMonitor:79062 [interfaces.py:start():190] Started disk monitoring
2024-04-12 21:59:49,852 INFO    SystemMonitor:79062 [interfaces.py:start():190] Started gpuapple monitoring
2024-04-12 21:59:49,852 INFO    SystemMonitor:79062 [interfaces.py:start():190] Started memory monitoring
2024-04-12 21:59:49,856 INFO    SystemMonitor:79062 [interfaces.py:start():190] Started network monitoring
2024-04-12 21:59:49,860 DEBUG   HandlerThread:79062 [system_info.py:_probe_git():135] Probing git
2024-04-12 21:59:49,884 DEBUG   HandlerThread:79062 [system_info.py:_probe_git():143] Probing git done
2024-04-12 21:59:49,884 DEBUG   HandlerThread:79062 [system_info.py:probe():198] Probing system done
